maskapai,asal,tujuan,tahun,penumpang,harga
country link,PKU,DPS,2014,86,1573224
rajawali,CGK,DPS,2015,126,2414132
mataram,CGK,UPG,2014,178,3502808
country link,BTO,UPG,2017,152,2954130
rajawali,PKU,BTH,2016,120,2292438
rajawali,BTO,SRG,2014,100,1850195
rajawali,PKU,SRG,2017,145,2789721
water asia,BDO,HLP,2015,181,3581135
mataram,BDO,DPS,2017,169,3323157
water asia,JOG,HLP,2016,182,3604229
mataram,CGK,UPG,2017,86,1565354
water asia,CGK,BTH,2016,129,2474853
rajawali,PKU,DPS,2015,114,2166026
country link,PKU,BTH,2016,79,1423408
macan,JOG,DPS,2016,89,1637082
macan,PKU,SRG,2015,170,3344452
macan,PKU,UPG,2016,182,3588411
mataram,JOG,SRG,2014,188,3733383
country link,PKU,HLP,2016,137,2003196
country link,CGK,PDG,2017,153,2967049
macan,PKU,BTH,2014,145,2807192
water asia,BTO,UPG,2016,188,3736513
country link,JOG,SRG,2014,112,2141538
macan,CGK,PDG,2015,77,1380393
mataram,KNO,UPG,2017,100,1856180
rajawali,PKU,BTH,2015,125,2403845
mataram,PKU,DPS,2016,62,1047750
mataram,BDO,PDG,2016,111,2105509
water asia,JOG,HLP,2017,84,1525006
rajawali,KNO,UPG,2014,103,1930815
water asia,BDO,DPS,2014,109,2057058
mataram,PKU,DPS,2016,140,2692223
water asia,CGK,SRG,2014,140,2687369
rajawali,BTO,UPG,2015,174,3425826
water asia,JOG,HLP,2017,156,3038314
rajawali,PKU,BTH,2015,81,1465874
country link,KNO,PDG,2017,133,2555099
mataram,BTO,BTH,2014,111,2102069
country link,KNO,SRG,2017,141,3024991
water asia,CGK,BTH,2016,106,1992960
water asia,JOG,SRG,2017,152,2947377
macan,CGK,BTH,2015,124,2384173
water asia,PKU,SRG,2015,181,3580798
rajawali,BDO,SRG,2014,96,1784205
rajawali,JOG,BTH,2017,76,1351299
mataram,BTO,DPS,2016,186,3688232
country link,PKU,PDG,2015,142,2725280
country link,KNO,HLP,2016,120,2287083
rajawali,JOG,HLP,2014,100,1849400
country link,BTO,PDG,2015,129,2478463
water asia,BDO,HLP,2017,188,3737180
rajawali,BDO,PDG,2015,145,2805563
macan,KNO,HLP,2014,97,1803035
water asia,PKU,DPS,2017,194,3854325
water asia,BDO,PDG,2017,80,1437273
macan,KNO,PDG,2017,63,1081848
macan,BDO,PDG,2017,113,2142179
water asia,PKU,SRG,2015,180,3555366
macan,JOG,UPG,2014,87,1600801
country link,JOG,SRG,2014,195,3868804
rajawali,CGK,BTH,2015,130,2483754
rajawali,PKU,SRG,2016,169,3333827
mataram,PKU,DPS,2015,71,1255956
macan,JOG,UPG,2016,90,1663973
macan,BTO,DPS,2014,86,1570843
country link,BDO,PDG,2015,89,1635587
macan,BTO,UPG,2017,122,2331574
mataram,CGK,SRG,2017,140,2703177
mataram,BDO,PDG,2017,170,3338961
country link,BTO,SRG,2016,133,2559687
water asia,BTO,UPG,2016,142,2741288
water asia,BDO,SRG,2017,200,3970012
country link,BTO,DPS,2016,156,3044625
country link,CGK,PDG,2016,123,2355183
mataram,KNO,SRG,2014,172,3382288
country link,KNO,UPG,2017,122,2333609
mataram,BDO,PDG,2014,193,3833158
rajawali,JOG,DPS,2014,155,3007774
country link,CGK,SRG,2015,106,1989130
rajawali,BDO,SRG,2015,180,3565671
water asia,CGK,PDG,2016,152,2956860
mataram,CGK,BTH,2015,143,2762884
water asia,BDO,SRG,2017,141,2717141
mataram,CGK,BTH,2016,106,1997111
water asia,BTO,BTH,2016,107,2015416
country link,JOG,HLP,2016,83,1497023
mataram,CGK,HLP,2016,175,3436872
mataram,BDO,UPG,2015,170,3344246
macan,CGK,SRG,2015,74,1306019
macan,JOG,HLP,2014,93,1715738
water asia,CGK,HLP,2015,191,3783911
country link,BDO,HLP,2016,67,1146752
water asia,CGK,PDG,2016,182,3585118
macan,BDO,HLP,2014,69,1198625
country link,JOG,BTH,2015,106,1996684
macan,KNO,DPS,2017,184,3633146
rajawali,BTO,HLP,2016,96,1779452
macan,PKU,HLP,2017,197,3905068
macan,CGK,UPG,2016,186,3693144
country link,PKU,PDG,2015,70,1229663
mataram,KNO,PDG,2015,103,1918584
macan,KNO,BTH,2015,100,1849091
mataram,BTO,PDG,2016,111,2118864
water asia,KNO,SRG,2017,163,3197776
mataram,CGK,UPG,2014,76,1338128
country link,BTO,PDG,2014,92,3427769
mataram,CGK,PDG,2016,166,3249082
mataram,BDO,DPS,2017,100,1859809
rajawali,BTO,SRG,2017,193,3843954
country link,JOG,PDG,2015,85,1547608
macan,BTO,UPG,2017,86,1570676
water asia,KNO,PDG,2014,180,3547992
country link,KNO,BTH,2015,159,3106556
water asia,BTO,UPG,2017,175,3440336
rajawali,BTO,UPG,2016,124,2370176
mataram,JOG,UPG,2014,145,2802906
mataram,BTO,PDG,2017,195,3880997
macan,BDO,DPS,2015,90,1661622
mataram,KNO,PDG,2017,149,2884449
rajawali,JOG,HLP,2016,165,3231217
macan,KNO,PDG,2016,162,3170187
country link,BTO,HLP,2015,140,2697547
water asia,CGK,SRG,2016,105,1961446
country link,BDO,PDG,2017,113,2150575
mataram,JOG,HLP,2014,128,2449252
rajawali,JOG,SRG,2014,103,1930283
macan,CGK,PDG,2016,165,3245481
macan,KNO,HLP,2014,93,1716235
country link,JOG,UPG,2017,76,1352377
water asia,BDO,SRG,2016,106,2003114
country link,CGK,SRG,2016,80,1445656
macan,JOG,HLP,2014,150,2900606
rajawali,PKU,BTH,2016,195,3882130
country link,BDO,UPG,2015,177,3490280
mataram,PKU,HLP,2014,104,1957358
mataram,CGK,UPG,2016,196,3897969
mataram,BTO,UPG,2016,119,2263683
mataram,JOG,DPS,2016,136,2610924
macan,CGK,HLP,2014,177,3480780
water asia,JOG,UPG,2015,199,3966853
water asia,CGK,DPS,2014,65,1124604
macan,BTO,DPS,2017,120,2306408
water asia,KNO,UPG,2016,161,3148955
water asia,BTO,SRG,2014,115,2189884
rajawali,CGK,BTH,2016,101,1870120
rajawali,KNO,DPS,2015,81,1349116
macan,CGK,HLP,2014,69,1195751
macan,BTO,PDG,2014,179,1380916
mataram,KNO,PDG,2015,149,2886385
country link,CGK,HLP,2015,142,2737525
country link,BTO,PDG,2017,143,3212049
country link,CGK,UPG,2017,175,3439130
rajawali,BDO,DPS,2016,83,1490793
mataram,JOG,HLP,2016,106,1990399
rajawali,BTO,SRG,2017,125,2405450
water asia,JOG,UPG,2014,126,2408725
water asia,CGK,HLP,2015,180,3563710
macan,PKU,UPG,2017,111,2107255
mataram,CGK,SRG,2017,75,1334038
macan,BTO,DPS,2015,102,1911910
macan,KNO,DPS,2015,131,2507965
country link,JOG,PDG,2017,68,1167267
country link,JOG,BTH,2015,114,2182609
country link,BDO,DPS,2017,134,2565860
mataram,CGK,SRG,2015,100,1863248
country link,JOG,BTH,2015,146,2825664
macan,KNO,PDG,2017,95,1756805
mataram,JOG,HLP,2014,168,3305292
macan,KNO,DPS,2014,162,3168679
water asia,BTO,SRG,2017,69,1206012
rajawali,JOG,PDG,2014,112,2017113
country link,JOG,UPG,2014,70,1230062
rajawali,JOG,BTH,2016,176,3462554
water asia,BDO,UPG,2016,185,3669437
country link,BDO,UPG,2014,120,2287796
water asia,PKU,UPG,2017,189,3747916
water asia,JOG,HLP,2017,63,1087820
mataram,BTO,DPS,2015,133,2542185
rajawali,CGK,PDG,2014,133,2562626
mataram,CGK,UPG,2015,72,1263934
rajawali,JOG,BTH,2014,177,3488385
rajawali,BDO,HLP,2015,151,2922688
rajawali,CGK,PDG,2016,138,2654997
mataram,BDO,DPS,2015,140,2691946
water asia,PKU,DPS,2016,199,3959079
country link,PKU,HLP,2016,156,2717898
water asia,BDO,BTH,2014,153,2966011
mataram,BDO,HLP,2016,119,2268154
rajawali,BDO,SRG,2017,71,1256832
macan,BTO,BTH,2017,190,3761967
water asia,BDO,BTH,2017,61,1044863
country link,BDO,PDG,2016,145,2795528
mataram,PKU,SRG,2015,133,2547484
rajawali,KNO,DPS,2015,111,2111312
country link,KNO,DPS,2014,121,2316896
mataram,BDO,HLP,2015,179,3538457
country link,CGK,BTH,2014,117,2228073
country link,PKU,HLP,2016,66,1140789
mataram,KNO,SRG,2016,138,2663725
rajawali,PKU,DPS,2015,85,1560828
rajawali,PKU,DPS,2016,81,1453918
mataram,BDO,SRG,2015,156,3037045
macan,PKU,BTH,2015,69,3970998
macan,PKU,UPG,2017,101,1888549
water asia,BDO,HLP,2015,60,1019153
rajawali,CGK,DPS,2017,130,2491341
macan,CGK,DPS,2015,164,3207547
macan,PKU,PDG,2015,108,2031077
country link,BDO,HLP,2016,164,1949158
country link,BDO,DPS,2014,79,1417591
water asia,CGK,SRG,2015,154,2987554
mataram,CGK,BTH,2016,147,2835767
macan,BTO,BTH,2014,94,1747148
macan,KNO,DPS,2017,95,1762870
country link,CGK,SRG,2017,156,3034084
country link,KNO,PDG,2015,109,2075116
water asia,KNO,SRG,2017,109,2060455
rajawali,CGK,SRG,2014,85,1550684
country link,KNO,DPS,2017,97,1806903
macan,BTO,UPG,2014,193,3393547
macan,PKU,SRG,2015,124,2384776
country link,PKU,HLP,2017,85,1537040
country link,CGK,BTH,2017,136,2618024
water asia,BDO,HLP,2014,190,3761110
mataram,KNO,SRG,2016,169,2896279
macan,BDO,PDG,2017,143,2761365
water asia,JOG,DPS,2015,65,1122202
mataram,BDO,DPS,2017,159,3105316
mataram,CGK,BTH,2016,72,1275902
macan,BTO,UPG,2017,99,1841833
water asia,CGK,BTH,2014,151,2924271
water asia,PKU,DPS,2017,191,3792856
macan,PKU,UPG,2017,198,3947108
macan,PKU,PDG,2015,166,3257381
mataram,BDO,DPS,2014,107,2016402
country link,JOG,SRG,2015,158,3090793
rajawali,PKU,HLP,2014,144,2815867
country link,KNO,SRG,2016,75,2420462
country link,JOG,BTH,2017,117,2225167
rajawali,JOG,SRG,2014,136,2606418
mataram,PKU,PDG,2017,143,2751240
macan,KNO,HLP,2017,78,1397730
country link,KNO,UPG,2016,63,1073464
water asia,KNO,UPG,2014,95,1772001
mataram,CGK,HLP,2014,187,3719324
mataram,CGK,BTH,2015,182,2559057
country link,KNO,PDG,2014,77,1376250
macan,JOG,BTH,2015,147,2838785
macan,BDO,SRG,2014,191,3795847
rajawali,JOG,SRG,2014,187,3704661
water asia,PKU,BTH,2015,112,2139893
rajawali,BDO,UPG,2017,68,1163942
water asia,BDO,BTH,2017,77,1384653
water asia,JOG,HLP,2016,108,2039260
rajawali,CGK,UPG,2014,148,2874752
water asia,JOG,SRG,2016,98,1809415
rajawali,JOG,UPG,2017,67,1158981
water asia,PKU,PDG,2015,73,1294382
rajawali,CGK,HLP,2014,113,2150970
water asia,KNO,UPG,2015,178,3516273
mataram,BTO,UPG,2014,193,3838050
rajawali,JOG,BTH,2014,94,1745238
macan,BDO,HLP,2017,116,2212184
rajawali,BTO,SRG,2016,158,3074946
mataram,JOG,HLP,2014,134,3957743
mataram,JOG,PDG,2014,179,3519080
mataram,BTO,HLP,2016,190,3779165
mataram,JOG,PDG,2016,122,2345691
mataram,BDO,UPG,2017,182,3593529
mataram,JOG,BTH,2017,193,3838591
mataram,BTO,DPS,2015,188,3734855
country link,KNO,SRG,2017,69,1216141
country link,BTO,PDG,2017,160,3125777
macan,KNO,UPG,2016,182,3605135
macan,BTO,PDG,2015,69,1213252
water asia,CGK,PDG,2014,152,2954545
country link,PKU,UPG,2017,131,2517440
water asia,CGK,UPG,2015,170,3338857
water asia,BTO,BTH,2017,177,3490052
country link,JOG,HLP,2015,151,2932344
water asia,BTO,UPG,2017,60,1009783
rajawali,KNO,UPG,2016,158,3083145
mataram,BTO,UPG,2017,144,2780141
water asia,BDO,DPS,2015,95,1756740
mataram,JOG,HLP,2017,188,3724530
rajawali,KNO,BTH,2016,133,2556386
mataram,JOG,HLP,2016,63,1079544
rajawali,BDO,PDG,2017,93,1721856
country link,JOG,HLP,2014,77,1380318
country link,BTO,UPG,2015,86,1580918
country link,PKU,UPG,2016,144,2786170
macan,BDO,DPS,2016,188,3739364
mataram,KNO,PDG,2016,109,2053855
country link,CGK,HLP,2015,74,1309258
water asia,CGK,UPG,2014,180,3557116
mataram,JOG,BTH,2016,197,3906078
water asia,BTO,DPS,2015,169,1041895
mataram,JOG,PDG,2015,183,3619471
water asia,PKU,DPS,2016,80,1437416
rajawali,BTO,SRG,2015,99,1847294
country link,PKU,PDG,2016,85,1543216
water asia,KNO,BTH,2014,85,1543203
country link,CGK,SRG,2016,109,2350173
water asia,BTO,DPS,2017,185,3675745
macan,JOG,PDG,2014,161,2214639
country link,PKU,BTH,2015,174,3424975
mataram,KNO,HLP,2014,75,1328748
water asia,JOG,SRG,2015,158,3087373
rajawali,BTO,HLP,2014,67,1150765
rajawali,JOG,BTH,2014,176,3478378
rajawali,KNO,SRG,2016,145,2798107
water asia,BDO,DPS,2014,171,2740969
mataram,KNO,BTH,2017,175,3379360
country link,KNO,SRG,2017,89,2903012
mataram,BDO,PDG,2014,163,3177547
macan,CGK,PDG,2016,76,1344275
macan,PKU,DPS,2016,194,3849391
mataram,CGK,BTH,2014,173,3413680
macan,CGK,PDG,2015,131,2523981
rajawali,CGK,SRG,2015,163,3180425
rajawali,CGK,SRG,2015,85,2403491
water asia,CGK,HLP,2017,118,2262760
mataram,PKU,DPS,2016,104,1940306
rajawali,KNO,HLP,2015,149,2878769
macan,KNO,HLP,2015,158,3089703
macan,CGK,SRG,2014,183,3622201
rajawali,BTO,BTH,2016,116,2213549
macan,BTO,PDG,2015,170,3336626
rajawali,BTO,PDG,2014,158,3077932
rajawali,JOG,PDG,2015,168,3293512
macan,KNO,SRG,2017,185,3660938
rajawali,KNO,DPS,2014,65,1122406
rajawali,PKU,UPG,2015,200,3996837
macan,BDO,HLP,2014,196,3898520
macan,JOG,SRG,2014,152,2944414
country link,BTO,UPG,2014,179,3529490
mataram,BDO,DPS,2016,191,3276828
macan,JOG,SRG,2014,82,1834747
rajawali,BTO,UPG,2015,98,1824144
rajawali,PKU,UPG,2014,104,1945319
country link,BDO,HLP,2017,104,1942945
mataram,BTO,PDG,2015,115,2195775
macan,KNO,SRG,2015,176,3478682
mataram,BTO,PDG,2015,114,2170779
mataram,BTO,DPS,2017,187,3436385
rajawali,JOG,SRG,2016,186,3696378
rajawali,KNO,DPS,2016,165,3230258
rajawali,CGK,HLP,2015,103,1920527
water asia,KNO,DPS,2016,157,3055871
water asia,JOG,PDG,2015,72,1275820
mataram,BTO,UPG,2016,94,1751548
water asia,BTO,PDG,2015,135,2601364
macan,CGK,PDG,2017,129,2474716
rajawali,JOG,HLP,2015,162,3158077
water asia,KNO,UPG,2014,73,1288774
rajawali,BTO,BTH,2015,108,2035905
rajawali,JOG,UPG,2015,79,1416450
mataram,PKU,DPS,2017,149,2879824
country link,BDO,DPS,2015,94,1738328
macan,PKU,UPG,2016,121,2324623
rajawali,JOG,UPG,2015,196,3902302
mataram,BTO,SRG,2017,168,3291909
water asia,KNO,HLP,2014,96,1778218
macan,CGK,PDG,2016,99,1843203
water asia,BDO,BTH,2016,153,2966617
water asia,BDO,HLP,2017,158,3080030
country link,BDO,BTH,2016,126,2426265
rajawali,BTO,PDG,2016,107,2014887
mataram,PKU,UPG,2015,63,1080627
macan,KNO,PDG,2017,184,3647944
mataram,CGK,SRG,2016,192,3816089
mataram,CGK,PDG,2017,77,1370737
mataram,BDO,UPG,2014,137,2643286
macan,KNO,BTH,2016,82,1483233
rajawali,BDO,SRG,2014,101,1887622
macan,JOG,PDG,2015,133,2556355
macan,PKU,BTH,2017,108,2035891
water asia,JOG,SRG,2017,175,3459185
mataram,BTO,PDG,2015,74,1312965
rajawali,PKU,SRG,2014,155,3015347
rajawali,KNO,SRG,2015,93,1706113
rajawali,CGK,PDG,2016,191,3796355
mataram,PKU,SRG,2015,104,1956699
water asia,BDO,DPS,2017,71,1238458
water asia,BTO,DPS,2016,71,1247326
water asia,JOG,PDG,2017,117,2230148
mataram,PKU,HLP,2015,144,2131066
rajawali,BDO,SRG,2014,154,2991557
macan,JOG,PDG,2016,86,1571526
water asia,BDO,SRG,2016,175,3440290
mataram,PKU,UPG,2014,130,2489295
rajawali,BTO,DPS,2016,194,3846898
water asia,JOG,DPS,2016,165,3237806
mataram,KNO,DPS,2017,76,2091635
water asia,PKU,UPG,2015,159,3105207
country link,BDO,BTH,2014,130,2496784
water asia,CGK,BTH,2016,159,3114419
mataram,CGK,PDG,2015,184,2706619
mataram,KNO,UPG,2017,141,2716697
rajawali,BDO,DPS,2016,186,3698469
macan,JOG,BTH,2014,154,2993659
country link,KNO,PDG,2014,62,1053413
rajawali,BTO,HLP,2016,150,2908691
water asia,CGK,PDG,2016,60,1005415
rajawali,BDO,PDG,2016,185,3655679
macan,BTO,HLP,2016,180,3552659
rajawali,JOG,SRG,2015,64,1092965
macan,BTO,PDG,2016,91,1682203
country link,BTO,UPG,2014,162,3166463
macan,KNO,SRG,2016,134,2572786
water asia,JOG,SRG,2015,72,1266997
mataram,BTO,HLP,2014,75,1324084
macan,PKU,BTH,2015,135,2518761
water asia,CGK,PDG,2016,173,1393299
mataram,JOG,SRG,2016,106,2004866
rajawali,PKU,BTH,2016,119,2276032
rajawali,BTO,HLP,2016,142,2738080
rajawali,JOG,DPS,2014,107,2015249
water asia,CGK,BTH,2016,177,3482298
macan,PKU,SRG,2015,151,2925189
rajawali,JOG,UPG,2016,66,1142085
mataram,JOG,PDG,2017,105,1961569
water asia,PKU,SRG,2014,171,3350905
rajawali,JOG,DPS,2014,164,3204754
rajawali,BDO,UPG,2015,103,1914327
mataram,BDO,UPG,2014,189,3750315
country link,PKU,BTH,2016,96,1781051
water asia,PKU,PDG,2017,179,3522945
country link,KNO,SRG,2015,172,3383817
macan,JOG,PDG,2015,74,1309814
mataram,BDO,BTH,2015,91,1680350
rajawali,PKU,PDG,2016,141,2707062
country link,PKU,PDG,2014,196,3900346
mataram,BDO,DPS,2014,164,3222512
rajawali,JOG,BTH,2016,124,2382496
water asia,JOG,HLP,2014,102,1895179
rajawali,CGK,PDG,2016,187,3705934
country link,PKU,PDG,2017,141,2722386
mataram,PKU,UPG,2017,94,1743266
country link,BTO,BTH,2017,73,1280163
macan,JOG,HLP,2015,118,2257562
macan,PKU,HLP,2017,104,1162049
mataram,JOG,PDG,2016,124,2374064
rajawali,KNO,BTH,2017,107,2009569
rajawali,CGK,HLP,2016,104,1940476
macan,PKU,UPG,2016,135,2599871
water asia,BTO,PDG,2016,66,1136804
country link,CGK,BTH,2016,71,1846096
rajawali,PKU,PDG,2015,68,1172377
country link,BDO,SRG,2014,138,2659860
country link,BDO,SRG,2016,68,1184389
country link,BTO,UPG,2017,118,1074909
country link,CGK,HLP,2015,71,1251401
macan,BTO,UPG,2017,133,2554083
mataram,BDO,DPS,2016,181,3584149
water asia,CGK,DPS,2016,200,3980113
mataram,BDO,PDG,2015,81,2954975
mataram,PKU,UPG,2015,97,1801811
mataram,JOG,DPS,2017,162,1127856
country link,PKU,SRG,2014,131,2511934
mataram,KNO,SRG,2016,76,1359952
rajawali,CGK,UPG,2016,99,1844633
rajawali,KNO,HLP,2014,140,2685238
macan,JOG,DPS,2014,133,2145147
mataram,PKU,PDG,2017,144,2774244
mataram,KNO,PDG,2014,146,2814589
country link,JOG,BTH,2014,141,2718673
mataram,PKU,PDG,2017,193,3836499
macan,BTO,DPS,2016,169,3315222
mataram,KNO,SRG,2015,147,2850591
macan,BDO,PDG,2014,120,2296763
mataram,BDO,DPS,2015,187,3704543
rajawali,CGK,HLP,2017,92,1704314
country link,BTO,PDG,2017,154,2989500
rajawali,KNO,SRG,2015,95,1763665
water asia,JOG,UPG,2014,97,1806129
macan,PKU,PDG,2017,77,1391287
water asia,CGK,BTH,2014,139,2683724
country link,PKU,DPS,2015,181,3580569
rajawali,BDO,PDG,2015,117,2236959
water asia,BTO,DPS,2017,117,2227379
macan,BDO,HLP,2016,72,1261614
macan,KNO,HLP,2017,156,3029593
country link,CGK,HLP,2014,90,1650443
macan,KNO,UPG,2014,86,1575389
water asia,CGK,DPS,2015,123,2350515
rajawali,BTO,PDG,2017,104,1944449
mataram,PKU,HLP,2017,114,2179770
rajawali,PKU,SRG,2017,183,2786654
water asia,PKU,PDG,2014,133,2549042
water asia,BTO,DPS,2014,132,2539248
rajawali,PKU,SRG,2016,106,2005376
country link,KNO,PDG,2014,70,1222952
water asia,CGK,DPS,2015,163,2941027
country link,JOG,UPG,2016,156,3033743
mataram,BDO,DPS,2015,185,3663357
macan,BDO,HLP,2014,93,1713519
macan,BDO,DPS,2014,131,2523466
water asia,BDO,BTH,2014,87,3083601
macan,JOG,PDG,2014,183,1971511
water asia,JOG,SRG,2017,112,2128768
country link,CGK,SRG,2015,137,2641752
mataram,KNO,DPS,2017,173,3411081
macan,BDO,UPG,2017,69,1197403
rajawali,BTO,UPG,2014,120,3130702
mataram,PKU,DPS,2017,78,1406723
country link,JOG,HLP,2016,168,3293276
macan,CGK,HLP,2015,191,3782167
water asia,PKU,DPS,2015,173,3410482
macan,CGK,DPS,2016,188,3730921
macan,BTO,PDG,2016,100,1866602
macan,JOG,DPS,2016,157,3053162
country link,KNO,UPG,2015,150,2902206
mataram,CGK,PDG,2017,167,3271679
macan,CGK,DPS,2017,72,1262160
country link,CGK,SRG,2017,164,3220673
mataram,PKU,PDG,2017,182,2910074
country link,CGK,UPG,2017,168,3300340
macan,JOG,HLP,2015,70,1228937
rajawali,PKU,DPS,2016,154,2992911
country link,JOG,SRG,2016,191,3779785
rajawali,KNO,DPS,2016,171,3357693
rajawali,BDO,HLP,2016,189,3746031
rajawali,KNO,BTH,2015,64,1099142
rajawali,JOG,DPS,2015,167,3275951
water asia,BTO,DPS,2017,96,1785616
rajawali,BDO,DPS,2014,143,2760578
water asia,KNO,UPG,2015,71,1253728
rajawali,KNO,HLP,2015,106,2083317
mataram,BDO,SRG,2017,146,2817303
country link,CGK,DPS,2017,115,2184720
macan,BTO,PDG,2015,165,3242466
country link,BDO,SRG,2014,87,1603630
country link,BDO,BTH,2014,165,3231068
rajawali,BDO,HLP,2016,109,2061415
water asia,BDO,DPS,2017,114,2164302
macan,CGK,HLP,2017,178,1567371
mataram,CGK,HLP,2015,120,2302247
macan,BDO,HLP,2016,85,1551579
water asia,BTO,SRG,2017,116,2205003
mataram,BTO,UPG,2014,179,3534208
macan,JOG,UPG,2017,90,1660817
macan,BTO,BTH,2017,199,3952338
macan,JOG,PDG,2015,96,1789397
rajawali,PKU,UPG,2015,114,2165114
rajawali,CGK,DPS,2015,100,1864235
mataram,KNO,BTH,2015,131,1744999
rajawali,KNO,DPS,2016,187,3709294
country link,KNO,UPG,2014,191,3781298
water asia,BTO,SRG,2017,101,1891943
mataram,CGK,DPS,2016,85,1547691
water asia,BTO,SRG,2017,158,3074119
macan,JOG,DPS,2014,154,2981320
rajawali,JOG,SRG,2017,82,1478081
mataram,BTO,DPS,2015,191,3789554
country link,KNO,HLP,2016,200,3995749
water asia,BDO,PDG,2017,115,2194612
water asia,KNO,UPG,2017,90,1664772
macan,CGK,HLP,2015,183,3622862
country link,KNO,DPS,2016,147,2847334
mataram,BTO,UPG,2014,143,2749161
macan,BTO,SRG,2017,176,3464323
water asia,BDO,HLP,2016,124,2376207
macan,BTO,UPG,2015,179,3523840
mataram,JOG,PDG,2017,182,3591634
water asia,PKU,SRG,2014,177,3481007
rajawali,CGK,BTH,2016,126,2424148
macan,BTO,SRG,2016,163,3187965
mataram,BTO,BTH,2014,78,1400292
mataram,BTO,UPG,2017,195,3883354
mataram,KNO,DPS,2016,187,3709235
country link,JOG,PDG,2015,189,3760329
water asia,PKU,UPG,2016,81,1451556
country link,PKU,DPS,2014,83,1503841
rajawali,PKU,DPS,2016,129,2475180
country link,PKU,HLP,2014,178,3501386
macan,PKU,UPG,2015,193,3841961
country link,JOG,UPG,2017,149,2891806
water asia,BDO,DPS,2014,131,2518124
mataram,PKU,BTH,2016,82,1482658
country link,BTO,SRG,2016,165,3235168
rajawali,BTO,DPS,2015,89,1639099
macan,BTO,UPG,2016,159,3112017
rajawali,PKU,DPS,2017,73,1286109
country link,BTO,UPG,2014,67,3320432
water asia,KNO,HLP,2016,161,3152744
mataram,JOG,HLP,2015,188,3724179
water asia,KNO,BTH,2016,197,3926805
macan,JOG,DPS,2014,187,3707430
country link,CGK,HLP,2016,113,2143726
mataram,BTO,DPS,2014,166,3248358
mataram,BDO,SRG,2014,114,2183630
rajawali,PKU,DPS,2016,158,3069310
rajawali,CGK,PDG,2016,124,2374737
mataram,PKU,PDG,2014,90,1660751
country link,KNO,UPG,2016,97,2580506
macan,BTO,HLP,2016,145,2800861
mataram,KNO,PDG,2014,170,3338921
rajawali,CGK,BTH,2015,144,3617587
water asia,KNO,PDG,2016,160,3119537
country link,BDO,HLP,2014,76,1067295
mataram,CGK,HLP,2014,123,2353988
rajawali,JOG,DPS,2015,163,3185410
rajawali,BTO,HLP,2014,76,1345620
mataram,BDO,PDG,2015,112,2140694
country link,BDO,DPS,2015,181,3569015
country link,KNO,HLP,2014,77,1389842
mataram,CGK,BTH,2014,136,2611385
macan,KNO,HLP,2015,163,3196555
water asia,KNO,DPS,2015,93,1714911
country link,PKU,DPS,2016,72,1270759
water asia,BTO,DPS,2014,108,2049242
water asia,JOG,DPS,2014,110,2607119
rajawali,KNO,BTH,2014,113,2154978
country link,PKU,HLP,2015,172,3379636
macan,KNO,UPG,2015,121,2325361
water asia,PKU,SRG,2014,125,2391224
rajawali,BDO,BTH,2017,135,2592967
rajawali,KNO,UPG,2014,143,2748509
mataram,PKU,SRG,2017,120,2301845
mataram,JOG,DPS,2015,89,3052965
rajawali,JOG,SRG,2015,89,1645734
macan,CGK,DPS,2017,105,3057779
water asia,CGK,HLP,2014,69,1211032
water asia,BDO,UPG,2014,95,1767630
country link,BDO,UPG,2014,131,2500428
country link,BDO,BTH,2015,154,2981385
country link,BTO,BTH,2015,127,2426952
rajawali,JOG,UPG,2014,168,3296386
country link,BTO,DPS,2014,186,3696197
country link,JOG,SRG,2016,130,2492864
water asia,BTO,HLP,2017,94,1738217
macan,CGK,BTH,2015,164,3206024
mataram,BDO,SRG,2017,103,1923363
macan,PKU,UPG,2017,76,1364228
rajawali,JOG,PDG,2015,109,2054066
macan,BTO,DPS,2014,139,2679133
country link,KNO,UPG,2015,129,2467921
mataram,JOG,BTH,2017,187,3721493
macan,PKU,DPS,2016,178,3498540
water asia,CGK,BTH,2014,138,3334641
macan,JOG,PDG,2014,149,1717319
water asia,CGK,HLP,2017,189,3754083
rajawali,BDO,SRG,2015,108,2034766
mataram,JOG,HLP,2016,65,1128480
macan,KNO,SRG,2014,166,3265958
country link,CGK,PDG,2017,179,3536416
macan,BTO,BTH,2014,159,3104361
country link,PKU,HLP,2014,113,2155383
country link,PKU,DPS,2017,134,2585345
mataram,PKU,BTH,2016,134,2581303
mataram,JOG,DPS,2016,81,1467509
mataram,BDO,PDG,2016,81,1448488
macan,BTO,DPS,2015,157,3061628
rajawali,BDO,HLP,2017,69,1202929
country link,PKU,PDG,2015,151,2920840
mataram,KNO,DPS,2014,128,2442383
macan,BDO,DPS,2016,98,1817438
macan,PKU,DPS,2015,188,3724352
rajawali,CGK,DPS,2014,160,3134647
water asia,BTO,SRG,2016,73,1293151
mataram,BTO,DPS,2015,195,3868540
rajawali,CGK,SRG,2015,181,3574863
country link,JOG,SRG,2017,163,3182540
country link,BTO,BTH,2015,73,1280363
rajawali,CGK,HLP,2017,71,1246327
country link,KNO,UPG,2016,63,1088799
mataram,CGK,SRG,2017,120,2302458
country link,CGK,UPG,2014,189,1676175
water asia,CGK,HLP,2015,151,2928010
water asia,JOG,DPS,2014,139,2677311
